CutID,Coordinate,Area,Reason,Checked
1,H/19,D1_ADS,Separate ADS and D1 strip segment,
2,J/19,D1_ADS,Separate ADS and D1 strip segment,
3,L/19,D1_ADS,Separate ADS and D1 strip segment,
4,R/9,Receiver_Input,Isolate receiver input side,
5,T/9,Receiver_Input,Isolate receiver input side,
6,V/9,Receiver_Input,Isolate receiver input side,
7,R/20,Receiver_Output,Isolate receiver output side,
8,T/20,Receiver_Output,Isolate receiver output side,
9,V/20,Receiver_Output,Isolate receiver output side,
10,AA/14,Boost_Area,Isolate boost section strips,
11,AC/14,Boost_Area,Isolate boost section strips,
12,AE/14,Boost_Area,Isolate boost section strips,
