Step,Net,From,To,Color,Type,Notes
1,5V,D1.M/28,BOOST.Y/6,Orange,wire,D1 Mini 5V to Boost IN+
2,GND,D1.L/28,BOOST.Y/8,Black,wire,D1 Mini GND to Boost IN-
3,3V3,D1.M/20,ADS.F/13,RedWhite,wire,D1 Mini 3V3 to ADS1115 VDD
4,GND,D1.L/28,ADS.G/13,Black,wire,ADS1115 GND to common GND bus
5,I2C_SCL,D1.H/28,ADS.H/13,Yellow,wire,D1 Mini D1 to ADS1115 SCL
6,I2C_SDA,D1.I/28,ADS.I/13,Green,wire,D1 Mini D2 to ADS1115 SDA
7,ADDR_GND,ADS.J/13,GND_BUS.J/24,Black,wire,ADS1115 ADDR fixed to GND for address 0x48
8,ANALOG_A0,RCV.R/16,ADS.L/13,Violet,wire,Receiver VOUT to ADS1115 A0
9,12V,BOOST.AD/6,SENS.Y/23,Red,wire,Boost OUT+ to sensor terminal Brown+
10,GND,BOOST.AD/8,GND_BUS.AD/24,Black,wire,Boost OUT- to common GND bus
11,LOOP_IN,SENS.Y/24,RCV.P/12,Blue,wire,Sensor Blue- to receiver I+
12,LOOP_RETURN,RCV.P/14,GND_BUS.P/24,Black,wire,Receiver I- to common GND bus
13,GND_BRIDGE_1,GND_BUS.L/24,GND_BUS.P/24,Black,jumper,Vertical bus bridge
14,GND_BRIDGE_2,GND_BUS.P/24,GND_BUS.AD/24,Black,jumper,Vertical bus bridge
15,5V_SERVICE,D1.M/28,SVK.AC/23,Orange,wire,Optional service terminal 5V output
16,GND_SERVICE,D1.L/28,SVK.AC/24,Black,wire,Optional service terminal GND
17,ALRT_NC,ADS.K/13,NC,none,none,ALRT not connected
18,A1_NC,ADS.M/13,NC,none,none,A1 not used
19,A2_NC,ADS.N/13,NC,none,none,A2 not used
20,A3_NC,ADS.O/13,NC,none,none,A3 not used
