Net,Pin,ConnectionType,Comment
5V_BUS,D1Mini.5V,functional,To Boost IN+
GND_BUS,D1Mini.G,functional,Main ground
3V3_BUS,D1Mini.3V3,functional,To ADS1115 VDD
I2C_SCL,D1Mini.D1,functional,To ADS1115 SCL
I2C_SDA,D1Mini.D2,functional,To ADS1115 SDA
TP_RST,D1Mini.RST,service,Service pad
TP_A0,D1Mini.A0,service,Service pad
TP_D0,D1Mini.D0,service,Service pad
TP_D3,D1Mini.D3,service,Service pad
TP_D4,D1Mini.D4,service,Service pad
TP_D5,D1Mini.D5,service,Service pad
TP_D6,D1Mini.D6,service,Service pad
TP_D7,D1Mini.D7,service,Service pad
TP_D8,D1Mini.D8,service,Service pad
TP_TX,D1Mini.TX,service,Service pad
TP_RX,D1Mini.RX,service,Service pad
3V3_BUS,ADS1115.VDD,functional,From D1Mini 3V3
GND_BUS,ADS1115.GND,functional,Common ground
I2C_SCL,ADS1115.SCL,functional,From D1Mini D1
I2C_SDA,ADS1115.SDA,functional,From D1Mini D2
ADDR_GND,ADS1115.ADDR,functional,Tie to GND for address 0x48
ANALOG_IN,ADS1115.A0,functional,From receiver VOUT
TP_ALRT,ADS1115.ALRT,service,Service pad
TP_A1,ADS1115.A1,service,Service pad
TP_A2,ADS1115.A2,service,Service pad
TP_A3,ADS1115.A3,service,Service pad
5V_BUS,Boost.IN+,functional,From D1Mini 5V
GND_BUS,Boost.IN-,functional,From D1Mini GND
12V_BUS,Boost.OUT+,functional,To sensor+ and receiver VCC
GND_BUS,Boost.OUT-,functional,Common ground
12V_BUS,Receiver.VCC,functional,Receiver supply
ANALOG_IN,Receiver.VOUT,functional,To ADS1115 A0
GND_BUS,Receiver.GND,functional,Common ground
LOOP_IN,Receiver.I+,functional,From sensor-
GND_BUS,Receiver.I-,functional,Loop return
JP_CFG,Receiver.J1.1,service,Keep soldered with jumper per module table
JP_CFG,Receiver.J1.2,service,Keep soldered with jumper per module table
JP_CFG,Receiver.J1.3,service,Keep soldered with jumper per module table
JP_CFG,Receiver.J1.4,service,Keep soldered with jumper per module table
12V_BUS,Sensor.BrownPlus,functional,Loop supply +
LOOP_IN,Sensor.BlueMinus,functional,Loop signal -
